mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.18084521293640138,0.005147038552306254,0.010116767883300782,0.00016087346582159486,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.706268221574344,0.7033527696793003,0.6997084548104956,0.6909620991253644,0.6994894237782641,0.6999561937935537,0.005148813653733337,27
0.3751831531524658,0.021173871935657538,0.01876864433288574,0.0006774107434274338,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.7077259475218659,0.7033527696793003,0.706997084548105,0.6938775510204082,0.7024070021881839,0.7028720709915726,0.004938109029676287,23
0.5568562984466553,0.02816782150655172,0.02685384750366211,0.0001837796475816933,5,2,300,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.7099125364431487,0.7048104956268222,0.706997084548105,0.6953352769679301,0.7016776075857039,0.703746600234342,0.004994945058425248,21
0.179970645904541,0.0004207416810507575,0.00982980728149414,0.00014195894683248598,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.7077259475218659,0.706268221574344,0.7033527696793003,0.6909620991253644,0.6965718453683443,0.7009761766538438,0.006307031368859131,26
0.36068177223205566,0.0016725478333689439,0.0182525634765625,0.00020966586780275592,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.7055393586005831,0.706997084548105,0.7157434402332361,0.6953352769679301,0.700948212983224,0.7049126746666156,0.006774754359887939,20
0.5435643672943116,0.003625269683530721,0.027195262908935546,0.0006411296167547784,5,5,300,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.7084548104956269,0.706268221574344,0.7120991253644315,0.6953352769679301,0.7031363967906638,0.7050587662385992,0.005671054634134926,19
0.18210186958312988,0.0012601365177717394,0.010044622421264648,0.0001670558271433278,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.7099125364431487,0.706268221574344,0.7040816326530612,0.6931486880466472,0.7038657913931436,0.7034553740220689,0.005592771691601068,22
0.36737236976623533,0.0018832654291360323,0.018615007400512695,0.00016680101856886574,5,10,200,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.7040816326530612,0.7011661807580175,0.7055393586005831,0.6953352769679301,0.6994894237782641,0.7011223745515712,0.0035895933545406758,25
0.5533445835113525,0.00184922015751998,0.02769618034362793,0.0003889014230360162,5,10,300,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.706268221574344,0.7026239067055393,0.7091836734693877,0.6931486880466472,0.700218818380744,0.7022886616353324,0.005501160660396587,24
0.3277148246765137,0.004253847094683776,0.013061857223510743,0.000260311060437143,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.7383381924198251,0.75,0.7405247813411079,0.749271137026239,0.7264770240700219,0.7409222269714388,0.008574489450892377,16
0.6575777530670166,0.0019184528058274776,0.024901056289672853,0.0005102960042151065,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.7427113702623906,0.7514577259475219,0.7463556851311953,0.7514577259475219,0.7286652078774617,0.7441295430332183,0.00840853273893674,10
0.9889184474945069,0.002779656951439851,0.0363349437713623,0.00046404190012298586,10,2,300,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 300}",0.7456268221574344,0.7470845481049563,0.7405247813411079,0.7529154518950437,0.7330415754923414,0.7438386357981768,0.006688501928317908,11
0.33333897590637207,0.007608015843934489,0.013068389892578126,0.0003312870005097443,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.7332361516034985,0.7485422740524781,0.7310495626822158,0.7551020408163265,0.7308533916849015,0.7397566841678841,0.010102143206420203,17
0.6601459503173828,0.002372786035269155,0.0246859073638916,0.00020657042492142018,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.7412536443148688,0.7529154518950437,0.7346938775510204,0.7572886297376094,0.7308533916849015,0.7434009990366888,0.010210373615114642,12
0.9918017864227295,0.001721891075676014,0.03718419075012207,0.0006986543027280871,10,5,300,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 300}",0.7368804664723032,0.75,0.7368804664723032,0.7551020408163265,0.7279358132749818,0.741359757407183,0.00983701698669877,14
0.32806978225708006,0.0019378426188530946,0.013133764266967773,0.00024690004600943165,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.7383381924198251,0.7412536443148688,0.7317784256559767,0.7551020408163265,0.7286652078774617,0.7390275022168917,0.0092059535387099,18
0.6561449050903321,0.0030245669812920387,0.024765443801879884,0.00021376787963948445,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.7383381924198251,0.7478134110787172,0.7405247813411079,0.7521865889212828,0.7323121808898614,0.7422350309301589,0.0070246008923957074,13
0.984179162979126,0.006709543194454068,0.03646683692932129,0.0002359994708341701,10,10,300,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 300}",0.7412536443148688,0.7427113702623906,0.739067055393586,0.7558309037900874,0.7279358132749818,0.741359757407183,0.008907423348216724,14
0.4511722564697266,0.0011773367705511597,0.01632204055786133,0.00036701287812792845,15,2,100,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 100}",0.7383381924198251,0.75,0.7448979591836735,0.7682215743440233,0.7461706783369803,0.7495256808569004,0.010075645480608887,3
0.9080103874206543,0.00783806641867154,0.031458806991577146,0.0004742491921863479,15,2,200,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 200}",0.7441690962099126,0.75,0.7470845481049563,0.7616618075801749,0.7534646243617797,0.7512760152513647,0.006039198658071375,2
1.3553060054779054,0.002430950994562775,0.04648733139038086,0.0004932911168920221,15,2,300,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 300}",0.7456268221574344,0.7558309037900874,0.7448979591836735,0.7616618075801749,0.7534646243617797,0.7522964234146301,0.006337010643077413,1
0.44456987380981444,0.0014475659329230225,0.016399717330932616,0.00018866660988274523,15,5,100,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 100}",0.7405247813411079,0.7405247813411079,0.7419825072886297,0.7558309037900874,0.7461706783369803,0.7450067304195825,0.005793775358762742,9
0.8896105766296387,0.0030189703615568775,0.03147988319396973,0.00037877124977294866,15,5,200,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 200}",0.7434402332361516,0.7456268221574344,0.7441690962099126,0.7565597667638484,0.7469000729394603,0.7473391982613614,0.004762256225007213,7
1.3369702339172362,0.004414539066712378,0.04586358070373535,0.0004632256508214282,15,5,300,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 300}",0.7427113702623906,0.750728862973761,0.7470845481049563,0.7587463556851312,0.7476294675419402,0.7493801209136358,0.005335768659448798,4
0.4376060485839844,0.009601304421380541,0.015949010848999023,0.0002064412494948868,15,10,100,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 100}",0.7448979591836735,0.7529154518950437,0.7485422740524781,0.7551020408163265,0.7330415754923414,0.7468998602879726,0.007774577754255547,8
0.867019510269165,0.0018761183385653656,0.030104780197143556,8.099561639853625e-05,15,10,200,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 200}",0.7456268221574344,0.7514577259475219,0.7463556851311953,0.760932944606414,0.7425237053245806,0.7493793766334292,0.006450256944784929,5
1.299601411819458,0.0026899472640472405,0.044951009750366214,0.0005017109953026137,15,10,300,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 300}",0.7427113702623906,0.75,0.7427113702623906,0.7616618075801749,0.7410649161196207,0.7476298928449154,0.007668046521213194,6
